@relation Sax_prediction-2011-06-30T15:40:59-06:00-weka.filters.unsupervised.attribute.Remove-R1

@attribute n_term numeric
@attribute c_term numeric
@attribute y_num numeric
@attribute c_num numeric
@attribute k_num numeric
@attribute h_num numeric
@attribute r_num numeric
@attribute d_num numeric
@attribute e_num numeric
@attribute u_num numeric
@attribute polar_num numeric
@attribute hydrophobic_num numeric
@attribute pi numeric
@attribute charge_at_2.0 numeric
@attribute charge_at_2.5 numeric
@attribute charge_at_3.0 numeric
@attribute charge_at_3.5 numeric
@attribute charge_at_4.0 numeric
@attribute charge_at_4.5 numeric
@attribute charge_at_5.0 numeric
@attribute charge_at_5.5 numeric
@attribute charge_at_6.0 numeric
@attribute charge_at_6.5 numeric
@attribute charge_at_7.0 numeric
@attribute charge_at_7.5 numeric
@attribute charge_at_8.0 numeric
@attribute charge_at_8.5 numeric
@attribute charge_at_9.0 numeric
@attribute charge_at_9.5 numeric
@attribute charge_at_10.0 numeric
@attribute charge_at_10.5 numeric
@attribute charge_at_11.0 numeric
@attribute charge_at_11.5 numeric
@attribute charge_at_12.0 numeric
@attribute fraction numeric

@data
2.36,9.04,0,0,0,0,1,0,1,0,2,6,6.647461,1.690537,1.402628,1.133147,0.916568,0.662451,0.367098,0.153174,0.053676,0.01679,0.002788,-0.007243,-0.027473,-0.083432,-0.223893,-0.477303,-0.743576,-0.904485,-0.97685,-1.021206,-1.091332,-1.247664,5
1.83,8.95,0,0,1,1,0,1,1,0,1,4,5.18457,2.375782,2.092236,1.826165,1.452295,0.945632,0.455149,0.103389,-0.173234,-0.479164,-0.756352,-0.918253,-1.003839,-1.093701,-1.267914,-1.556395,-1.865166,-2.145937,-2.455294,-2.738069,-2.900405,-2.966335,5
2.32,9.04,0,1,0,1,2,0,0,0,0,6,10.635986,3.676201,3.397523,3.171815,3.058799,3.010489,2.975672,2.910424,2.758034,2.492733,2.216976,2.019911,1.829785,1.528416,1.102796,0.654806,0.301365,0.107222,0.017581,-0.051736,-0.185638,-0.496271,5
2.17,9.04,0,0,1,0,4,0,0,0,1,3,12.959229,5.596629,5.318678,5.128851,5.044681,5.014566,5.004626,5.001383,5.000169,4.999206,4.997074,4.990669,4.970999,4.913348,4.76649,4.49302,4.167921,3.85774,3.509323,3.135726,2.721087,2.038832,5
2.17,8.95,0,0,3,1,1,0,0,0,0,4,11.772705,5.596529,5.318362,5.127852,5.041527,5.004662,4.973964,4.910447,4.759832,4.498938,4.236483,4.07894,3.993585,3.900159,3.713418,3.385919,2.963063,2.395017,1.568868,0.736053,0.198371,-0.149546,5
2.18,8.95,0,0,2,0,0,0,1,0,2,5,9.565186,2.596566,2.306226,2.078218,1.894693,1.654963,1.364661,1.152373,1.053345,1.016444,1.001918,0.990105,0.964436,0.893412,0.719673,0.413935,0.049158,-0.373909,-0.938063,-1.484992,-1.803626,-1.933562,5
2.18,8.95,0,0,2,0,0,0,1,0,2,5,9.565186,2.596566,2.306226,2.078218,1.894693,1.654963,1.364661,1.152373,1.053345,1.016444,1.001918,0.990105,0.964436,0.893412,0.719673,0.413935,0.049158,-0.373909,-0.938063,-1.484992,-1.803626,-1.933562,5
2.18,8.95,0,0,2,0,0,0,1,0,2,5,9.565186,2.596566,2.306226,2.078218,1.894693,1.654963,1.364661,1.152373,1.053345,1.016444,1.001918,0.990105,0.964436,0.893412,0.719673,0.413935,0.049158,-0.373909,-0.938063,-1.484992,-1.803626,-1.933562,5
2.34,9.04,0,0,0,0,1,0,1,0,3,5,6.647461,1.680708,1.391452,1.126264,0.913724,0.661465,0.366777,0.153071,0.053643,0.016779,0.002784,-0.007244,-0.027473,-0.083432,-0.223893,-0.477303,-0.743576,-0.904485,-0.97685,-1.021206,-1.091332,-1.247664,5
2.19,9.04,0,0,0,0,3,0,1,0,0,6,12.179932,3.602069,3.311287,3.080869,2.895709,2.655308,2.36478,2.152435,2.053441,2.016715,2.002762,1.992743,1.972504,1.916501,1.775897,1.522034,1.254332,1.088914,1.002424,0.914691,0.719093,0.254818,5
2.36,9.04,0,0,1,0,2,1,0,0,1,4,11.346436,3.674232,3.353986,3.003466,2.653046,2.33115,2.130933,2.04495,2.014355,2.003735,1.998512,1.99113,1.971163,1.91346,1.766714,1.493686,1.170015,0.864342,0.530049,0.199829,-0.089338,-0.463649,5
2.17,9.04,1,0,1,0,2,0,0,0,1,4,11.421143,3.596629,3.318678,3.128851,3.04468,3.014565,3.004623,3.001374,3.000143,2.999121,2.996807,2.989825,2.968335,2.904975,2.740489,2.415244,1.95794,1.404549,0.800939,0.304967,-0.053515,-0.452037,5
